date_seen,store,label,bale_weight_lbs,
8/1/18,1,205,925,
8/1/18,1,206,895,
8/1/18,1,207,993,
8/1/18,9,74,1178,
8/1/18,9,75,1056,
8/1/18,9,76,1095,
8/1/18,9,77,1056,
8/1/18,9,78,1048,
8/1/18,10,386,820,
8/1/18,10,391,957,
8/1/18,13,465,632,
8/1/18,13,466,708,
8/1/18,13,469,848,
8/1/18,13,470,1235,
8/1/18,13,471,890,
8/1/18,14,379,850,
8/1/18,14,380,850,
8/1/18,16,225,914,
8/1/18,16,243,1076,
8/1/18,17,397,1050,
8/1/18,18,80,939,
8/1/18,18,81,747,
8/1/18,190,252,1254,
8/1/18,190,253,851,
8/1/18,190,254,1012,
8/1/18,192,130,999,
8/1/18,192,131,1002,
8/1/18,192,132,1038,
8/1/18,192,133,978,
8/1/18,192,134,1038,
8/1/18,193,363,898,
8/1/18,195,181,339,
8/1/18,196,71,954,
8/1/18,196,72,954,
8/1/18,196,73,954,
8/1/18,196,82,1144,
8/1/18,196,83,1129,
8/1/18,196,84,1037,
8/1/18,196,85,1015,
8/1/18,196,87,999,
8/1/18,197,461,1102,
8/1/18,197,462,891,
8/1/18,197,463,1066,
8/1/18,197,464,952,
8/1/18,200,389,1032,
8/1/18,200,390,1123,
8/1/18,200,391,923,
8/1/18,201,53,921,
8/1/18,203,389,1103,
8/1/18,204,19,956,
8/1/18,204,20,946,
8/1/18,205,175,916,
8/1/18,206,303,934,
8/1/18,206,304,833,
8/1/18,206,305,856,
8/1/18,207,80,994,
8/1/18,210,402,1011,
8/1/18,210,403,1014,
8/1/18,210,405,1066,
8/1/18,19,5,967,
8/1/18,19,6,1165,
8/1/18,2,242,943,
8/1/18,2,243,943,
8/1/18,2,244,892,
8/1/18,21,246,672,
8/1/18,22,207,933,
8/1/18,22,210,662,
8/1/18,23,81,945,
8/1/18,23,82,935,
8/1/18,23,83,945,
8/1/18,25,413,958,
8/1/18,26,381,1289,
8/1/18,26,382,976,
8/1/18,27,482,1131,
8/1/18,27,483,1124,
8/1/18,3,238,837,
8/1/18,3,239,1033,
8/1/18,3,240,871,
8/1/18,3,246,877,
8/1/18,3,247,885,
8/1/18,63,154,1046,
8/1/18,63,155,1023,
8/1/18,65,74,941,
8/1/18,65,75,1017,
8/1/18,65,76,1004,
8/1/18,65,77,913,
8/1/18,65,78,1017,
8/1/18,68,258,659,
8/1/18,70,176,903,
8/1/18,70,177,842,
8/1/18,70,179,814,
8/1/18,70,180,855,
8/1/18,70,181,895,
8/1/18,207,79,942,
8/1/18,208,430,1025,
8/1/18,208,431,987,
8/1/18,20,382,922,
8/1/18,62,104,971,
8/1/18,62,106,971,
8/1/18,71,218,864,
8/1/18,71,219,1100,
8/1/18,71,9A,1002,
8/1/18,72,153,801,
8/1/18,72,154,789,
8/1/18,72,155,687,
8/1/18,73,77,687,
8/1/18,74,380,879,
8/1/18,74,382,914,
8/1/18,74,383,972,
8/1/18,74,384,828,
8/1/18,75,195,1059,
8/1/18,75,196,1020,
8/1/18,78,41,1012,
8/1/18,78,44,1012,
8/1/18,78,45,1013,
8/1/18,81,238,1103,
8/1/18,82,395,894,
8/1/18,82,396,828,
8/1/18,83,422,976,
8/1/18,30,210,776,
8/1/18,30,211,1104,
8/1/18,30,212,1016,
8/1/18,30,213,921,
8/1/18,86,428,975,
8/1/18,87,243,959,
8/1/18,87,244,920,
8/1/18,87,245,1274,
8/1/18,87,247,968,
8/1/18,90,15,1164,
8/1/18,90,16,1146,
8/1/18,91,426,959,
8/1/18,91,428,960,
8/1/18,91,430,975,
8/1/18,92,81,828,
8/1/18,76,353,996,
8/1/18,76,354,971,
8/1/18,84,377,920,
8/1/18,84,379,850,
8/1/18,84,384,1029,
8/1/18,96,303,957,
8/1/18,96,304,1001,
8/1/18,96,305,960,
8/1/18,97,179,1020,
8/1/18,97,180,993,
8/1/18,97,181,991,
8/1/18,97,182,900,
8/1/18,97,183,1037,
8/1/18,98,478,801,
8/1/18,98,479,968,
8/1/18,100,134,1006,
8/1/18,100,136,1053,
8/1/18,100,137,933,
8/1/18,101,463,928,
8/1/18,101,464,952,
8/1/18,102,323,903,
8/1/18,102,324,989,
8/1/18,102,325,355,
8/1/18,103,132,1108,
8/1/18,31,215,909,
8/1/18,31,216,747,
8/1/18,31,217,1088,
8/1/18,31,218,687,
8/1/18,31,219,980,
8/1/18,105,247,830,
8/1/18,105,248,830,
8/1/18,105,249,830,
8/1/18,105,250,861,
8/1/18,105,251,776,
8/1/18,107,101,1135,
8/1/18,107,102,1135,
8/1/18,107,103,1061,
8/1/18,109,481,1008,
8/1/18,109,482,1001,
8/1/18,112,382,938,
8/1/18,112,383,938,
8/1/18,113,31,1185,
8/1/18,113,32,1069,
8/1/18,113,33,1006,
8/1/18,4,30,1055,
8/1/18,34,79,929,
8/1/18,34,80,1211,
8/1/18,34,81,929,
8/1/18,34,82,902,
8/1/18,5,433,872,
8/1/18,5,435,892,
8/1/18,5,436,903,
8/1/18,114,243,916,
8/1/18,114,244,321,
8/1/18,115,443,975,
8/1/18,118,309,933,
8/1/18,118,310,1085,
8/1/18,118,311,1084,
8/1/18,118,312,1041,
8/1/18,118,313,1041,
8/1/18,118,314,724,
8/1/18,123,6,1033,
8/1/18,37,439,1015,
8/1/18,37,440,1009,
8/1/18,126,26,1004,
8/1/18,130,116,1020,
8/1/18,130,117,1149,
8/1/18,130,118,980,
8/1/18,131,57,883,
8/1/18,131,59,907,
8/1/18,131,60,849,
8/1/18,131,61,876,
8/1/18,131,62,879,
8/1/18,131,63,775,
8/1/18,132,486,1084,
8/1/18,132,488,1087,
8/1/18,132,489,754,
8/1/18,133,224,963,
8/1/18,133,225,965,
8/1/18,133,226,1069,
8/1/18,133,227,965,
8/1/18,134,60,934,
8/1/18,136,240,986,
8/1/18,136,241,1058,
8/1/18,136,242,911,
8/1/18,38,455,934,
8/1/18,38,456,998,
8/1/18,38,457,934,
8/1/18,38,458,931,
8/1/18,38,459,986,
8/1/18,38,460,954,
8/1/18,38,461,937,
8/1/18,115,434,1224,
8/1/18,115,437,920,
8/1/18,115,438,922,
8/1/18,115,439,922,
8/1/18,115,440,954,
8/1/18,116,364,963,
8/1/18,116,365,992,
8/1/18,117,176,960,
8/1/18,117,177,960,
8/1/18,120,183,908,
8/1/18,120,184,908,
8/1/18,121,167,943,
8/1/18,121,170,1043,
8/1/18,121,171,816,
8/1/18,121,172,973,
8/1/18,123,3,910,
8/1/18,123,5,913,
8/1/18,128,96,913,
8/1/18,133,220,916,
8/1/18,133,222,969,
8/1/18,135,492,1132,
8/1/18,135,494,842,
8/1/18,138,351,1092,
8/1/18,138,352,1146,
8/1/18,140,152,775,
8/1/18,140,153,1052,
8/1/18,39,315,293,
8/1/18,39,316,1072,
8/1/18,39,317,1026,
8/1/18,39,318,1026,
8/1/18,40,347,361,
8/1/18,40,348,972,
8/1/18,40,349,998,
8/1/18,147,154,885,
8/1/18,147,155,835,
8/1/18,147,156,939,
8/1/18,152,273,1014,
8/1/18,152,274,967,
8/1/18,152,275,1021,
8/1/18,152,276,1006,
8/1/18,152,277,1059,
8/1/18,155,192,1107,
8/1/18,155,193,1131,
8/1/18,155,194,979,
8/1/18,155,195,999,
8/1/18,155,197,960,
8/1/18,155,198,864,
8/1/18,6,180,923,
8/1/18,6,181,949,
8/1/18,6,182,923,
8/1/18,139,332,1045,
8/1/18,139,333,1045,
8/1/18,142,451,974,
8/1/18,154,127,909,
8/1/18,154,128,909,
8/1/18,156,202,920,
8/1/18,156,205,820,
8/1/18,156,206,814,
8/1/18,156,210,816,
8/1/18,157,123,910,
8/1/18,157,125,910,
8/1/18,157,126,452,
8/1/18,157,127,1099,
8/1/18,159,184,959,
8/1/18,164,61,386,
8/1/18,164,62,856,
8/1/18,164,63,583,
8/1/18,164,64,725,
8/1/18,165,230,963,
8/1/18,165,231,944,
8/1/18,165,232,1035,
8/1/18,165,233,968,
8/1/18,42,169,966,
8/1/18,168,354,1144,
8/1/18,168,357,944,
8/1/18,170,24,1020,
8/1/18,172,18,479,
8/1/18,172,19,1139,
8/1/18,172,21,1025,
8/1/18,172,22,962,
8/1/18,173,147,1142,
8/1/18,174,482,1123,
8/1/18,174,483,1015,
8/1/18,175,134,903,
8/1/18,175,135,817,
8/1/18,176,269,951,
8/1/18,176,270,677,
8/1/18,179,117,1001,
