store,sales,,,
1,575785,,,
2,1099150,,,
3,659688,,,
4,629492,,,
5,799539,,,
6,1315294,,,
7,633169,,,
8,718207,,,
9,949095,,,
10,719266,,,
11,822894,,,
12,1026295,,,
13,1314934,,,
14,744752,,,
15,351624,,,
16,1633818,,,
17,532026,,,
18,895980,,,
19,810862,,,
20,547013,,,
21,441861,,,
22,703717,,,
23,1189724,,,
24,655055,,,
25,468024,,,
26,401228,,,
27,810143,,,
28,677281,,,
29,716233,,,
30,746251,,,
31,907862,,,
32,504398,,,
33,1307655,,,
34,602371,,,
35,554001,,,
36,620380,,,
37,1336878,,,
38,1821483,,,
39,1085765,,,
40,671429,,,
41,853530,,,
42,678031,,,
43,604013,,,
44,1005704,,,
45,736724,,,
46,593354,,,
47,688011,,,
48,838474,,,
49,426666,,,
50,666793,,,
51,1270110,,,
52,488043,,,
53,1054429,,,
54,485301,,,
55,510214,,,
56,924783,,,
57,639842,,,
58,657840,,,
59,707803,,,
60,951421,,,
61,660555,,,
62,616865,,,
63,1221591,,,
64,845186,,,
65,622568,,,
66,621847,,,
67,537971,,,
68,447038,,,
69,1119496,,,
70,803806,,,
71,1237485,,,
72,1477743,,,
73,590302,,,
74,1454463,,,
75,1012796,,,
76,1395075,,,
77,833078,,,
78,905329,,,
79,1050818,,,
80,615084,,,
81,733005,,,
82,837388,,,
83,723144,,,
84,504349,,,
85,630084,,,
86,664701,,,
87,625961,,,
88,477797,,,
89,1585713,,,
90,627039,,,
91,1007192,,,
92,615962,,,
93,395758,,,
94,825821,,,
95,955154,,,
96,1049415,,,
97,1952995,,,
98,1049946,,,
99,529371,,,
100,671156,,,
101,707170,,,
102,841340,,,
103,651514,,,
104,550839,,,
105,867901,,,
106,468208,,,
107,538947,,,
108,829667,,,
109,555824,,,
110,399637,,,
111,569691,,,
112,948419,,,
113,660227,,,
114,629311,,,
115,884212,,,
116,1451908,,,
117,884610,,,
118,1167737,,,
119,567611,,,
120,849878,,,
121,1066682,,,
122,785032,,,
123,1003837,,,
124,680385,,,
125,224234,,,
126,780177,,,
127,657541,,,
128,1015567,,,
129,888536,,,
130,655063,,,
131,1117469,,,
132,785339,,,
133,727900,,,
134,617560,,,
135,620318,,,
136,1248858,,,
137,783765,,,
138,763056,,,
139,832770,,,
140,736125,,,
141,777583,,,
142,1186153,,,
143,1026747,,,
144,834840,,,
145,777924,,,
146,657375,,,
147,594084,,,
148,780472,,,
149,784608,,,
150,491555,,,
151,683551,,,
152,960829,,,
153,1009121,,,
154,716387,,,
155,1003123,,,
156,932977,,,
157,903292,,,
158,961783,,,
159,657460,,,
160,550558,,,
161,591650,,,
162,611460,,,
163,805361,,,
164,1099731,,,
165,952148,,,
166,606380,,,
167,879331,,,
168,911145,,,
169,800320,,,
170,628199,,,
171,721929,,,
172,1488508,,,
173,939745,,,
174,1348371,,,
175,698178,,,
176,907181,,,
177,698460,,,
178,1025487,,,
179,977890,,,
180,395577,,,
181,722134,,,
182,690282,,,
183,1105245,,,
184,585137,,,
185,846377,,,
186,617551,,,
187,1149310,,,
188,611362,,,
189,883855,,,
190,1381010,,,
191,499964,,,
192,1098062,,,
193,474871,,,
194,403277,,,
195,413691,,,
196,2213749,,,
197,842550,,,
198,212166,,,
199,248817,,,
200,625126,,,
201,562881,,,
202,856995,,,
203,440124,,,
204,805978,,,
205,976580,,,
206,537959,,,
207,611030,,,
208,618779,,,
209,434304,,,
210,664027,,,
211,629584,,,
212,779236,,,
